alpha_VSP1,alpha_VSP2,omega_VSP1,omega_VSP2,u_BT,u_VSP1,u_VSP2,Absolute Time
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.172439
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.182443
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.192442
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.202438
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.212442
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.222444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.232444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.242444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.252444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.262444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.272445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.282445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.292445
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.302442
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.312446
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.322446
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.332448
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.342447
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.352447
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.362448
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.372447
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.382449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.392449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.402444
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.412449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.422450
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.432451
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.442451
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.452449
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.462451
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.472451
0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.000000,3568300326.482451
